apt_code,category,review
1Hq6f,5,"교통 좋고 주변에 반포천, 한강, 반포종합운동장까지 있어 걸을 데가 많아요."
1Hq6f,1,조경이 잘 되어 있어 강아지랑 산책하기도 좋습니다.
1Hq6f,1,"3년째 거주인데 조경, 입지, 커뮤니티 다 좋아요!"
1Hq6f,5,교통 조경 그리고 바로 옆 신강까지 살기 제일 좋은 아파트
1Hq6f,1,이곳은 도심에 있지만 도심 같지 않은 곳
1Hq6f,0,주차 자리 개인적으로는 쉽지 않았습니다.
1Hq6f,3,"반래퍼는 125동은 신반포역, 버스류장과 가까워서 확실히 편해요."
1Hq6f,1,한강공원가기도 좋고요.
1Hq6f,4,"아파트 출구 나가서 바로 갈 수 있는 고터 지하상가, 파미에스테이션과 신세계 문화센터, 단지내 어린이집, 길건너 신반포 육아지원센터, 장난감 도서관, 한강유모차로 모두 편하게 다닐 수 있어 유아기 아이 키우기 너무 좋은 곳입니다"
1Hq6f,1,조경이 아름답고 유지 관리가 잘됩니다
1Hq6f,2,대단지 만큼 조경과 커뮤니티 센터가 잘 형성 되어있습니다
1Hq6f,5,한강뷰 지하철있는 찻길쪽 34평 수납이 너무 적어서 조금 불편했어요.
1Hq6f,1,구조가 그르케 잘나온거같지는 않아요
1Hq6f,1,"조경도 넘 예쁘고 백화점, 지하철역이 코 앞이라 살기 좋아요"
1Hq6f,2,"좋은 점은 남향으로 꽤 열려 있고 반포 타 단지 대비 동간 간격 넓고, 백화점 걸어 가고, 이젠 오래된 편이나 커뮤니티 잘되어 있고, 잠원초랑 지하철역 3,7,9호선 끼고 있고, 반포대교 지나면 종로도 금방이고, 강남도 가깝고 반포에서 위치 점수는 최고죠"
1Hq6f,0,"아쉬운 점은, 지상으로 차 다니고 지하주차장 간격 좁고, 이제 헌 아파트로 돌아서려는 점이지만, 잠원초품아라 애 초딩인 동안 잘 살았어요"
1Hq6f,6,"학군, 편의시설, 한강공원 다 갖춘 아파트"
1Hq6f,1,아직도 인근일대 혹은 서울전역에서 이만한 조경은 찾아보기 힘듭니다.정말 잘 신경써서 지은 아파트입니다.
1Hq6f,0,주차-최근 폭우 때 침수 없었음
1Hq6f,2,사우나 독서실 헬스장 그리고 카페 등등 커뮤니티센터가 아주 잘되어 있습니다.
1Hq6f,3,"101동 공기 좋고, 23호라인은 저층까지도 종일 채광 좋고, 유명한 뻥뷰에, 큰 도로소음 없고 조용해요."
1Hq6f,4,"상권. 식당, 상권, 백화점 다수 존재합니다."
1Hq6f,4,무엇보다이 슬리퍼 상권이 이만한곳이 없어요.
1Hq6f,6,초등학교는 단지내에 있어 너무 좋아요
1Hq6f,6,세화고등학교와 세화여중학교 다니면 단지가 완줜히 학교와 붙어있어 애들에게 좋습니다.
1Hq6f,7,"한강 바로 앞이라 단지 내에 강바람, 차소음 등 있어요"
1Hq6f,7,근처에 소방서가 있어 가끔 큰 소음 나기도 합니다.
1Hq6f,7,집 안에서 눈에 띄는 층간소음 없음.
