apt_code,category,review
aAh37,1,산책하기 좋고아이키우기에는 정말 좋아요
aAh37,2,대단지 커뮤니티 이점대단지 인만큼 다양한 사람이 단점입니다.
aAh37,5,거주 2년차원래 송파구 토박이라 특이 할 건 없지만그냥저냥 살기 조용하고직장이 잠실이라 출 퇴근도 좋습니다
aAh37,7,주민들이 조용조용하고 매너있어요.
aAh37,6,해누리초중도 초신축에 아이들 순하고 공부잘하고 만족해요
aAh37,1,단지 내에서 모든 것이 해결 가능한 핼리오시티가 짱이여요!
aAh37,4,"단지가 워낙 넓어서 아이 키우기 좋고, 근처에 석촌시장 있는 게 장볼 때 생각했던 것 보다 훨씬 유용하더라구요"
aAh37,1,노인친화아파트애들 뛰어노는게 소음이라고 민원 때려서 멀쩡한 인조잔디 시설에서 캐치볼도 못하고 그 큰 단지에서 애들 모여 축구할 곳도 없습니다.
aAh37,3,410동에 거주하고있으며 교통편리하고 핼스장과수영장 골프장이있어 너무좋습니다
aAh37,1,"식물원 , 시냇물이 흐르고 도서실이 곳곳이 자리해 있어 자녀들 공부 분위기 좋다( 책 박물관 끼고 있음 택지 기증했음)."
aAh37,1,"평지만의 매력이 만땅, 특히 어린아이들 멀리 야외를 찾아가지 않아도 숲과 냇물 들판처럼 조성되어 자유롭고 안전하다."
aAh37,6,초등학교 길 가까워 즐겁고 편안하다.
aAh37,6,"자녀 교육에 집중하기가 시간적 공간적 효율성 만땅, 조용하다."
aAh37,1,단지 내에 놀이터 많고 상가 안에 웬만한 것들 다 있어서 아이들 키우며 살기 좋아요
aAh37,1,특히 다른 데 가지 않고 파크밴드 산책하고 놀이터만 돌아다녀도 주말 잘 보낼 수 있어 코로나때 좋았습니다
aAh37,6,"단지내 학교도 있고 어린이집, 놀이터 등이 많아 아이 키우기 참 좋은 곳 입니다."
aAh37,7,단 층간소음은 매우 심해요. 아랫집에 미안하고 윗집때문에 힘들고.. 아이있는 집은 아랫집 없는 곳으로 하시면 좋을 듯 해요.
aAh37,1,파크밴드 산책하나로도 헬리오의 진가가 나타납니다.
aAh37,0,지하 1층 주차장이 송파역으로 바로 연결되서 좋아요
aAh37,0,지하주차장의 인도를 통해 전철역까지 연결되어있어요
aAh37,0,세대수가 많은 동은 주차난에 시달립니다.
aAh37,2,규모에 비해 커뮤니티 시설 부실하다.
aAh37,2,커뮤니티 시설도 좋고 단지도 넓음
aAh37,3,5동라인 위치 좋은거 헬리오 사는 사람은 다 아는 듯 합니다.
aAh37,3,신혼이면 4~5단지 추천합니다.
aAh37,4,차로 4분 거리에 이마트 수서점이 있어요
aAh37,4,송파 롯데마트도 가깝구요
aAh37,5,눈이 많이와도 전철이용도 편리하고 버스정류장도 가까워 대중교통 이용하기도 좋습니다.
aAh37,5,교통편 (8호선과 9호선) 양재대로 송파대로 접근성 좋음
aAh37,6,초등학교는 주변에 해누리초등학교가 있습니다.
aAh37,6,해누리중 남학생 졸업 75명밖에 안되네요.
aAh37,6,가장 가까운 고교는 잠실여고예요.
aAh37,7,방음이 잘 안되서 소음이 있긴 해요.
